seed,panel,weight,target_ratio,score
5,B,0.05,2.0,0.975
5,B,0.15,1.25,1.0
5,B,0.15,1.5,1.0
5,B,0.15,2.0,0.925
5,B,0.3,1.25,1.0
5,B,0.3,1.5,1.0
5,B,0.3,2.0,0.85
5,C,0.05,1.25,1.0
5,C,0.05,1.5,1.0
5,C,0.05,2.0,0.9875
5,C,0.15,1.25,1.0
5,C,0.15,1.5,1.0
5,C,0.15,2.0,0.9625
5,C,0.3,1.25,1.0
5,C,0.3,1.5,1.0
5,C,0.3,2.0,0.925
5,D,0.05,1.25,1.0
5,D,0.05,1.5,0.983333
5,D,0.05,2.0,0.9625
5,D,0.15,1.25,1.0
5,D,0.15,1.5,0.95
5,D,0.15,2.0,0.8875
5,D,0.3,1.25,1.0
5,D,0.3,1.5,0.9
5,D,0.3,2.0,0.775
5,E,0.05,1.25,1.0
5,E,0.05,1.5,1.0
5,E,0.05,2.0,1.0
5,E,0.15,1.25,1.0
5,E,0.15,1.5,1.0
5,E,0.15,2.0,1.0
5,E,0.3,1.25,1.0
5,E,0.3,1.5,1.0
5,E,0.3,2.0,1.0
5,F,0.05,1.25,1.0
5,F,0.05,1.5,1.0
5,F,0.05,2.0,0.975
5,F,0.15,1.25,1.0
5,F,0.15,1.5,1.0
5,F,0.15,2.0,0.925
5,F,0.3,1.25,1.0
5,F,0.3,1.5,1.0
5,F,0.3,2.0,0.85
6,A,0.05,1.25,0.98
6,A,0.05,1.5,0.966667
6,A,0.05,2.0,0.95
6,A,0.15,1.25,0.94
6,A,0.15,1.5,0.9
6,A,0.15,2.0,0.85
6,A,0.3,1.25,0.88
6,A,0.3,1.5,0.8
6,A,0.3,2.0,0.7
6,B,0.05,1.25,1.0
6,B,0.05,1.5,1.0
6,B,0.05,2.0,0.975
6,B,0.15,1.25,1.0
6,B,0.15,1.5,1.0
6,B,0.15,2.0,0.925
6,B,0.3,1.25,1.0
6,B,0.3,1.5,1.0
6,B,0.3,2.0,0.85
6,C,0.05,1.25,1.0
6,C,0.05,1.5,1.0
6,C,0.05,2.0,0.9875
6,C,0.15,1.25,1.0
6,C,0.15,1.5,1.0
6,C,0.15,2.0,0.9625
6,C,0.3,1.25,1.0
6,C,0.3,1.5,1.0
6,C,0.3,2.0,0.925
6,D,0.05,1.25,1.0
6,D,0.05,1.5,0.983333
6,D,0.05,2.0,0.9625
6,D,0.15,1.25,1.0
6,D,0.15,1.5,0.95
6,D,0.15,2.0,0.8875
6,D,0.3,1.25,1.0
6,D,0.3,1.5,0.9
6,D,0.3,2.0,0.775
6,E,0.05,1.25,1.0
6,E,0.05,1.5,1.0
6,E,0.05,2.0,1.0
6,E,0.15,1.25,1.0
6,E,0.15,1.5,1.0
6,E,0.15,2.0,1.0
6,E,0.3,1.25,1.0
6,E,0.3,1.5,1.0
6,E,0.3,2.0,1.0
